;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
exercise kombi;Superdefault;Target Muscle;exercise name;possible;eqipment ;default ;hands used;;grip type ;;;;;plane;;;;;;grip width;;;cable height  ;;;bench;;;stand;;;;;;bench : cable ;;;body : bench;;;;;body pos;;;sit;;info for equipment;info for exercise;Cables used;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;biceps;curl;WAHR;dumbell;FALSCH;WAHR;WAHR;WAHR*;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;arm auf der Bank abstützen und curls machen ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;30° ;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;1;2;sup;s-n;n;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;;;;flat ;incl;upright ;;;;;;;;;;;;;;;lying;180°;sitting ;;;;;;
;WAHR;biceps;concentration curl ;WAHR;dumbell;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;der Anfang vom Trizeps auf der seite vom Ellenbogen liegt auf der Innenseite des Beines auf ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;biceps;spider curl ;WAHR;dumbell;WAHR;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;;;;
;;;;WAHR;ez bar ;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;;;;
;;;;WAHR;nose bar;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;;;;
;;;;;;;1;2;sup;s-n;n;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;;;;flat ;incl;upright ;;;;;;;;;;;;;;;lying;180°;sitting ;;;;;;
;WAHR;chest ;fly ;WAHR;dumbell;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR*;WAHR;FALSCH;FALSCH;FALSCH;;;;WAHR*;WAHR;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;15°-30° Bench Winkel für obere Brust ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;chest ;press ;WAHR;dumbell;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR;WAHR*;FALSCH;FALSCH;FALSCH;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;WAHR;nose bar;FALSCH;FALSCH;WAHR;FALSCH;WAHR*;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;WAHR;barbell;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;nicht genau in der trans plane ;;;
;;;;;;;1;2;sup;s-n;n;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;chest ;press;WAHR;dumbell;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;WAHR;nose bar;FALSCH;FALSCH;WAHR;FALSCH;WAHR*;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;B6 sup x0.5 ;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;WAHR;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;shoulder;press;WAHR;dumbell;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;;;;;;;;;;;;WAHR*;FALSCH;WAHR;;;;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;;;;;;;;;;;;WAHR*;FALSCH;WAHR;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;flat ;incl;upright ;;;;;;;;;;;;;;;lying;180°;sitting ;;;;;;
;FALSCH;back ;kelso shrugg ;WAHR;dumbell;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;WAHR;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;B45°  bodypos=180° mit ausgestreckten Beinen ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;FALSCH;WAHR*;WAHR;FALSCH;WAHR;FALSCH;;;;WAHR*;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;bei trans auf einer erhöhten flat bench wo man die Arme ausstrecken kann ;;;
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;back ;shrugg;WAHR;dumbell;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;dumbells seitlich von dein Beinen. Da man nur die Schultern nach oben zieht braucht man keine plane ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FALSCH;shoulder;rear raise ;WAHR;dumbell;FALSCH;WAHR;WAHR*;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;mit dem oberkörper unter 45° nach vorne lehnen ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;flat ;incl;upright ;;;;;;;;;;;;;;;lying;180°;sitting ;;;;;;
;FALSCH;shoulder;rear raise ;WAHR;dumbell;FALSCH;WAHR;WAHR*;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;FALSCH;FALSCH;;;;WAHR;WAHR;FALSCH;;;;;;;;;;;;;;;FALSCH;WAHR;FALSCH;;;bench unter 45° = t-l ;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;erhöhte bench flat = trans ;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;shoulder;lateral raise;WAHR;dumbell;FALSCH;WAHR;WAHR*;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;;;;flat ;incl;upright ;;;;;;;;;;;;;;;lying;180°;sitting ;;;;;;
;FALSCH;shoulder;Y raise;WAHR;dumbell;FALSCH;WAHR;WAHR*;WAHR;WAHR;WAHR;WAHR*;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;WAHR;FALSCH;;;;;;;;;;;;;;;WAHR*;FALSCH;WAHR;;;;;;
;;;;FALSCH;ez bar ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;nose bar;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;FALSCH;barbell;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;FALSCH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FALSCH;shoulder;front raise;WAHR;dumbell;WAHR;WAHR*;WAHR;FALSCH;WAHR;WAHR;WAHR*;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;;;;;;;;;;;;WAHR;FALSCH;WAHR;;;;;;
;;;;WAHR;ez bar ;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;;;;;;;;;;;;WAHR;FALSCH;WAHR;;;;;;
;;;;WAHR;nose bar;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR*;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;;;;FALSCH;FALSCH;WAHR;;;;;;;;;;;;;;;WAHR;FALSCH;WAHR;;;;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;WAHR;;;;FALSCH;FALSCH;WAHR;;;;;;;;;;;;;;;WAHR;FALSCH;WAHR;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;forearm;flexion;WAHR;dumbell;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend: Dabei kniet man am Boden, legt man seinen Unterarm quer über die bench, damit das Handgelenk darüber hinaus steht. Zur Ausführung bewegt man das Handgelenk nach oben ;sitzend: Dabei sitzt man auf der bench, legt man seinen Unterarm auf den gleichseitigen Oberschenkel , damit das Handgelenk darüber hinaus steht. Zur Ausführung bewegt man das Handgelenk nach oben ;;
;;;;WAHR;ez bar ;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend und sitzend möglich ;;;
;;;;WAHR;nose bar;FALSCH;FALSCH;WAHR;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;WAHR;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend und sitzend möglich ;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend und sitzend möglich ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WAHR;forearm;extension;WAHR;dumbell;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend: Dabei kniet man am Boden, legt man seinen Unterarm quer über die bench, damit das Handgelenk darüber hinaus steht. Zur Ausführung bewegt man das Handgelenk nach oben ;sitzend: Dabei sitzt man auf der bench, legt man seinen Unterarm auf den gleichseitigen Oberschenkel , damit das Handgelenk darüber hinaus steht. Zur Ausführung bewegt man das Handgelenk nach oben ;;
;;;;WAHR;ez bar ;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR*;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend und sitzend möglich ;;;
;;;;WAHR;nose bar;FALSCH;FALSCH;WAHR;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR*;WAHR;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend und sitzend möglich ;;;
;;;;WAHR;barbell;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;knieend und sitzend möglich ;;;
;;;;;;;1;2;sup;s-n;n ;n-p;pro;lat;l-s;sag;s-t;trans;t-l;x 0.5;x 1;x 1.5;1--8;9--15;16-22;flat ;incl;upright ;0°;45°;90°;90° os;135°;180°;0;90;180;0;45;90;135;180;lying;180°;sitting;0°;90°;;;;
cable + bench ;WAHR;triceps;pushdown ;FALSCH;d-handle var ;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;FALSCH;FALSCH
;;;;FALSCH;d-handle fix;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;FALSCH;FALSCH;FALSCH;;;;;;;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;FALSCH;FALSCH
